sec,timestamp,maa,clock_ticks,clock_seconds,longitude,latitude,relative_height_meters
50,2022-06-09 09:40:50,3.4208674e-06,1794080018,324.056,144.80318783305887,13.431623465701731,11.438201413330075
51,2022-06-09 09:40:51,3.8891126e-06,1798580028,325.056,144.80318035858468,13.431616915969702,11.575438962158202
52,2022-06-09 09:40:52,1.510709e-05,1803081393,326.057,144.80317386121246,13.431612405792126,11.55984066503906
53,2022-06-09 09:40:53,3.985541e-06,1807582694,327.057,144.80316645568573,13.431608228794191,11.758090481933593
54,2022-06-09 09:40:54,1.3865043e-06,1812083959,328.057,144.80315888041508,13.431603903451522,11.861213193115232
55,2022-06-09 09:40:55,2.0281275e-06,1816585476,329.058,144.8031512435251,13.431599903901873,12.046214566406247
56,2022-06-09 09:40:56,1.975614e-06,1821085678,330.058,144.8031443990199,13.431596148397356,12.069995389160155
57,2022-06-09 09:40:57,1.2953575e-06,1825586224,331.058,144.80313762536466,13.431591700165788,11.914100156005858
58,2022-06-09 09:40:58,1.4779511e-06,1830086479,332.058,144.80313092837247,13.431587104201782,11.694777951416016
59,2022-06-09 09:40:59,1.2104715e-06,1834587121,333.058,144.80312413988491,13.431582516510272,11.840102658447265
60,2022-06-09 09:41:00,1.4687187e-06,1839087584,334.058,144.80311731169175,13.431577623127254,11.752902493652345
61,2022-06-09 09:41:01,1.4199479e-06,1843588309,335.058,144.8031110269398,13.431572808339457,12.188872800048827
62,2022-06-09 09:41:02,1.5234564e-06,1848089106,336.058,144.8031044041093,13.431567559434546,12.244327054199218
63,2022-06-09 09:41:03,1.5188621e-06,1852592773,337.059,144.8030975022477,13.431563950060076,12.400222287353516
64,2022-06-09 09:41:04,1.4121373e-06,1857092920,338.059,144.80309017308457,13.43156001670342,12.125319943603516
65,2022-06-09 09:41:05,1.3503924e-06,1861594188,339.059,144.80308307295945,13.431555969498984,12.249362454589845
66,2022-06-09 09:41:06,1.5310687e-06,1866095479,340.06,144.8030750607163,13.43155104891444,12.167327389892575
67,2022-06-09 09:41:07,1.877324e-06,1870597221,341.06,144.8030677236262,13.431547094427092,12.317962155517575
68,2022-06-09 09:41:08,1.2594792e-06,1875097237,342.06,144.80306006286705,13.431543129674036,12.058940396484374
69,2022-06-09 09:41:09,1.5608988e-06,1879597594,343.06,144.80305147279705,13.431539107065618,12.79082439916992
70,2022-06-09 09:41:10,1.4655227e-06,1884097763,344.06,144.80304541814002,13.431533931388577,12.55284832495117
71,2022-06-09 09:41:11,1.2835553e-06,1888598104,345.06,144.803038536325,13.43152750564627,12.11936901586914
72,2022-06-09 09:41:12,1.4202443e-06,1893098410,346.06,144.80303140329394,13.4315220853574,12.328059659179686
73,2022-06-09 09:41:13,1.3580805e-06,1897600531,347.061,144.80302499001857,13.431515635344766,11.76786755102539
74,2022-06-09 09:41:14,1.5064458e-06,1902100584,348.061,144.80301932094935,13.43151127300385,12.15627621191406
75,2022-06-09 09:41:15,1.205068e-06,1906600698,349.061,144.8030136531485,13.431505627025668,12.44413708227539
76,2022-06-09 09:41:16,1.093369e-06,1911102905,350.061,144.80300681884273,13.431500101597935,11.91823910253906
77,2022-06-09 09:41:17,9.423413e-07,1915603819,351.062,144.80299953273212,13.431494791613348,11.73326824682617
78,2022-06-09 09:41:18,1.1035384e-06,1920104797,352.062,144.80299105371088,13.431489451710988,11.728038296875
79,2022-06-09 09:41:19,1.0128338e-06,1924606060,353.062,144.80298318105372,13.43148476136888,11.963393674072265
80,2022-06-09 09:41:20,9.297766e-07,1929107242,354.062,144.8029752687967,13.431481898206076,12.079692349609374
81,2022-06-09 09:41:21,1.5938542e-06,1933608920,355.063,144.80296736962808,13.431478463596218,12.245986447509765
82,2022-06-09 09:41:22,1.0321806e-06,1938109178,356.063,144.80296158692065,13.431474098418551,12.18772839086914
83,2022-06-09 09:41:23,1.0562935e-06,1942609685,357.063,144.80295215091445,13.431469257640789,12.404162869628903
84,2022-06-09 09:41:24,9.408995e-07,1947110779,358.063,144.80294691362994,13.431463458836395,12.353686795410155
85,2022-06-09 09:41:25,1.1725915e-06,1951611828,359.063,144.8029416951589,13.431458924193077,11.89390514868164
86,2022-06-09 09:41:26,8.579873e-07,1956115198,360.064,144.8029359916512,13.431452446220058,12.406527981933593
87,2022-06-09 09:41:27,7.461011e-07,1960616070,361.064,144.80292999068652,13.431446932409647,12.23244045751953
88,2022-06-09 09:41:28,9.0291985e-07,1965116134,362.064,144.8029266063515,13.43144117994263,12.499431119140624
89,2022-06-09 09:41:29,1.1196557e-06,1969617308,363.065,144.80291925805784,13.431435317925295,12.26695202368164
90,2022-06-09 09:41:30,1.1616308e-06,1974118570,364.065,144.80291639370003,13.431436259393092,11.7655138828125
91,2022-06-09 09:41:31,7.430539e-07,1978619888,365.065,144.80291377696466,13.431435794655531,11.942443356689452
92,2022-06-09 09:41:32,8.219815e-07,1983119905,366.065,144.80291306121651,13.431432663691856,11.799647793945311
93,2022-06-09 09:41:33,1.7912123e-06,1987620719,367.065,144.80291227586034,13.431431571191576,11.73640774267578
94,2022-06-09 09:41:34,7.0242834e-07,1992120946,368.065,144.80291414309605,13.43143200183115,11.239745602783202
95,2022-06-09 09:41:35,9.585065e-07,1996621232,369.065,144.80291525101143,13.431431514410992,11.41422985571289
96,2022-06-09 09:41:36,8.195071e-07,2001121245,370.065,144.80291787250303,13.431433958393583,11.284339413818358
97,2022-06-09 09:41:37,1.0555153e-06,2005621421,371.066,144.8029190946996,13.431434853831783,11.61665676611328
98,2022-06-09 09:41:38,6.6824555e-07,2010121452,372.066,144.80291833017384,13.431434160056018,13.376105771240232
99,2022-06-09 09:41:39,9.367312e-07,2014621611,373.066,144.80291746307248,13.431432799078248,16.050212369140624
100,2022-06-09 09:41:40,7.6498816e-07,2019123520,374.066,144.8029167634338,13.43143094109937,18.573562131103515
101,2022-06-09 09:41:41,7.587131e-07,2023623670,375.066,144.80291593980772,13.431429255632557,21.272029385742183
102,2022-06-09 09:41:42,1.0686707e-06,2028125244,376.066,144.80291497936133,13.431430206916614,24.297831998046878
103,2022-06-09 09:41:43,7.372029e-07,2032626631,377.067,144.80291285363433,13.431429600377408,26.926982388671878
104,2022-06-09 09:41:44,8.744394e-07,2037128047,378.067,144.80291071040622,13.431428683578908,28.866633877929686
105,2022-06-09 09:41:45,7.510935e-07,2041629455,379.067,144.80291039408294,13.4314294233,30.079455838378905
106,2022-06-09 09:41:46,8.0750686e-07,2046130732,380.068,144.80291084358015,13.43143066131885,30.520602688964843
107,2022-06-09 09:41:47,9.4496335e-07,2050632327,381.068,144.80291238267253,13.43143322857628,31.17037533300781
108,2022-06-09 09:41:48,9.14884e-07,2055132770,382.068,144.80291274018987,13.431431268062424,31.85966824072265
109,2022-06-09 09:41:49,9.0215286e-07,2059632802,383.068,144.80290647716674,13.431433186679673,32.25374172705078
110,2022-06-09 09:41:50,7.3738266e-07,2064132976,384.068,144.80289442833586,13.431435235605823,33.44551418798828
